heavy,重い（おもい）,箱が重い。 (The box is heavy.),omoi
interesting,面白い（おもしろい）,この本は面白い。 (This book is interesting.) funny,omoshiroi
slow / late,遅い（おそい）,バスが遅い。 (The bus is slow.) yukkuri = slowly,osoi
frightening,恐ろしい（おそろしい）,彼は恐ろしい。 (He is frightening.),osoroshī
cold (only for climate),寒い（さむい）,冬は寒いです。 (Winter is cold.),samui
"cozy, small, not spacious, narrow",狭い（せまい）,狭い部屋です。 (The room is narrow.),semai
cool (cold) / breezey,涼しい（すずしい）,風が涼しい。 (The breeze is cool.) AC relief,suzushī
expensive / tall,高い（たかい）,この店は高い。 (This shop is expensive.) for person -> sega takai,takai
a lot,たくさん,たくさん食べた。 (I ate a lot.),takusan
fun,楽しい（たのしい）,ゲームは楽しい。 (Games are fun.),tanoshii
far,遠い（とおい）,学校が遠い。 (The school is far.) tooi desuka?,tōi
boring,つまらない,その映画はつまらない。 (The movie is boring.),tsumaranai
"cold (foo, climate, personality, etc..)",冷たい（つめたい）,冷たい水です。 (It’s cold water.),tsumetai
strong,強い（つよい）,彼は強いです。 (He is strong.),tsuyoi
loud,うるさい,音がうるさい。 (The noise is loud.),urusai
beautiful (formal!!),美しい（うつくしい）,富士山は美しい。 (Mt. Fuji is beautiful.) formal!!,utsukushii
old (not young),若くない（わかくない）,私は若くない。 (I am not young.) not young,wakakunai
young,若い（わかい）,彼は若い。 (He is young.),wakai
bad (beware: strong word!),悪い（わるい）,これは悪い。 (This is bad.) beware: strong word!,warui
easy,優しい（やさしい）,彼女は優しい。 (She is kind.) kind (for personality),yasashii
cheap,安い（やすい）,この店は安い。 (This store is cheap.),yasui
(formal) good,宜しい（よろしい）,よろしいですか？ (Is it alright?) used in service,yoroshii
famous,有名（ゆうめい）,彼は有名です。 (He is famous.),yūmei
safe,安全（あんぜん）,ここは安全です。 (It’s safe here.),anzen
convenient,便利（べんり）,"これは便利です。 (This is convenient.) handy, useful",benri
inconvenient,不便（ふべん）,時間が不便です。 (The time is inconvenient.),fuben
handsome,ハンサム（はんさむ）,彼はハンサムです。 (He is handsome.),hansamu
strange,変（へん）,変な天気ですね。 (Strange weather.) henna hito -> strange person,hen
free time,暇（ひま）,今日は暇です。 (I have free time today.),hima
"pretty, clean",きれい（な）,部屋がきれいです。 (The room is clean.) na-adjective,kirei
lively,賑やか（にぎやか）,公園は賑やかです。 (The park is lively.),nigiyaka
stylish,おしゃれ,彼女はおしゃれです。 (She is stylish.),oshare
special,特別（とくべつ）,特別な日です。 (It’s a special day.),tokubetsu
"kind, helpful",親切（しんせつ）,彼は親切です。 (He is helpful.),shinsetsu
quiet,静か（しずか）,静かな場所です。 (It’s a quiet place.),shizuka
good (being good at),上手（じょうず）,彼は上手です。 (He is good at it.),jōzu
dislike,嫌い（きらい）,納豆が嫌いです。 (I dislike natto.) kirai na tabemono = food I don't like,kirai
hate,大嫌い（だいきらい）,虫は大嫌いです。 (I hate bugs!) very strong!,daikirai
"great, lovely, wonderful",素敵（すてき）,素敵な夜です。 (What a lovely night!),suteki
special / important,大切（たいせつ）,大切な話です。 (It’s an important matter.),taisetsu
favorite,好きな（すきな）,na-adjective form,suki na すきなアニメは何？ (What’s your favorite anime?) suki na tabemono = favorite food,suki 私はラーメンが好きです。 (I like ramen.)
